"OBJECTID","CNTY_NM","DIST_NM","CNTY_NBR","FIPS","CREATE_DT","EDIT_DT","EDIT_NM","CRI_CYCLE","SHAPE_area","SHAPE_len"
194,"King","Childress",135,48269,"","","","",2361016502.77028,194612.340762
195,"Fannin","Paris",75,48147,"","","","",2323581123.26364,231792.248697
196,"Lamar","Paris",139,48277,"","","","",2413603956.79424,279587.725968
197,"Cooke","Wichita Falls",49,48097,"","","","",2313777652.34763,292750.649169
198,"Grayson","Paris",92,48181,"","","","",2530057122.17225,242180.887210
199,"Red River","Paris",194,48387,"","","","",2732795859.57669,363518.316343
200,"Clay","Wichita Falls",39,48077,"","","","",2869916406.64578,245807.432134
201,"Wichita","Wichita Falls",243,48485,"","","","",1598917905.69346,184636.759531
202,"Foard","Childress",79,48155,"","","","",1821153742.89963,235291.307147
203,"Floyd","Lubbock",78,48153,"","","","",2566639322.92539,202964.419106
204,"Bailey","Lubbock",9,48017,"","","","",2139741915.85562,187500.875265
205,"Hale","Lubbock",96,48189,"","","","",2597727201.42645,204203.967045
206,"Lamb","Lubbock",140,48279,"","","","",2631737312.03277,205497.835554
207,"Motley","Childress",173,48345,"","","","",2559314133.16956,202591.543959
208,"Cottle","Childress",51,48101,"","","","",2330472358.42551,204776.775127
209,"Wilbarger","Wichita Falls",244,48487,"","","","",2526996464.78369,256526.647617
210,"Hardeman","Childress",100,48197,"","","","",1801714123.41203,194133.294049
211,"Childress","Childress",38,48075,"","","","",1847196532.54631,173430.667557
212,"Parmer","Lubbock",185,48369,"","","","",2290751291.75836,191436.565565
213,"Castro","Lubbock",35,48069,"","","","",2327290885.64043,193166.448947
214,"Hall","Childress",97,48191,"","","","",2340076133.41793,193480.121648
215,"Swisher","Lubbock",219,48437,"","","","",2334044918.30594,193267.829253
216,"Briscoe","Childress",23,48045,"","","","",2334984954.39616,193214.201469
217,"Collingsworth","Childress",44,48087,"","","","",2381094089.65705,195140.294544
218,"Donley","Childress",65,48129,"","","","",2416896598.92942,196638.910489
219,"Armstrong","Amarillo",6,48011,"","","","",2362090444.64455,194740.490679
220,"Randall","Amarillo",191,48381,"","","","",2389448680.84610,195847.365709
221,"Deaf Smith","Amarillo",59,48117,"","","","",3879618584.97491,256604.257993
222,"Wheeler","Childress",242,48483,"","","","",2372962640.15889,194924.156130
223,"Potter","Amarillo",188,48375,"","","","",2390639582.33332,195640.808628
224,"Gray","Amarillo",91,48179,"","","","",2411450956.32300,196517.710599
225,"Carson","Amarillo",33,48065,"","","","",2396645381.08586,195721.938709
226,"Oldham","Amarillo",180,48359,"","","","",3893653409.91377,257627.556820
227,"Hutchinson","Amarillo",118,48233,"","","","",2323480519.09218,192855.749240
228,"Hartley","Amarillo",104,48205,"","","","",3798215392.89903,254485.339319
229,"Moore","Amarillo",171,48341,"","","","",2361289901.46326,194330.879229
230,"Hemphill","Amarillo",107,48211,"","","","",2367773263.96458,194622.668430
231,"Roberts","Amarillo",197,48393,"","","","",2396825547.42055,195771.873795
232,"Hansford","Amarillo",99,48195,"","","","",2393587247.91104,195737.438187
233,"Lipscomb","Amarillo",148,48295,"","","","",2425671107.09441,197001.376522
234,"Ochiltree","Amarillo",179,48357,"","","","",2389934579.86109,195894.057751
235,"Sherman","Amarillo",211,48421,"","","","",2399271986.88575,195972.060551
236,"Dallam","Amarillo",56,48111,"","","","",3913084237.26121,257178.480762
237,"Morris","Atlanta",172,48343,"","","","",665521287.825513,162432.412582
238,"Rusk","Tyler",201,48401,"","","","",2422926372.55206,249800.124671
239,"Jackson","Yoakum",121,48239,"","","","",2214339148.58192,235232.787544
240,"El Paso","El Paso",72,48141,"","","","",2616740378.59217,248082.750776
241,"Polk","Lufkin",187,48373,"","","","",2864119565.23229,285142.714708
242,"Montague","Wichita Falls",169,48337,"","","","",2417923458.64954,214535.192469
243,"Calhoun","Yoakum",29,48057,"","","","",2397790813.09426,270386.002372
244,"Washington","Bryan",239,48477,"","","","",1602501409.47484,258870.182973
245,"Johnson","Fort Worth",127,48251,"","","","",1893514388.23960,184294.417340
246,"Taylor","Abilene",221,48441,"","","","",2371585982.21838,195186.734855
247,"McLennan","Waco",161,48309,"","","","",2736109898.35091,211096.142117
248,"Jefferson","Beaumont",124,48245,"","","","",2565271473.95758,294291.975298
249,"Collin","Dallas",43,48085,"","","","",2288277116.48652,194748.206660
250,"Burnet","Austin",27,48053,"","","","",2631513357.55824,254137.512943
251,"Williamson","Austin",246,48491,"","","","",2930528885.52112,251919.445047
252,"Bell","Waco",14,48027,"","","","",2802727010.69917,219994.709853
253,"Fort Bend","Houston",80,48157,"","","","",2286046787.45275,256910.811407
254,"Kleberg","Corpus Christi",137,48273,"","","","",2625110596.18515,258972.705638
